;X;Y;kappa
632;137.0844879;16.7508147;-0.0062067
633;138.8699775;19.1656304;-0.0021146
634;140.6762142;21.5664258;-0.0012645
635;142.4899901;23.9603128;-0.0008825
636;144.3105429;26.3479187;-0.0008431
637;146.1371718;28.7298386;-0.0007005
638;147.9691761;31.1066678;-0.0006369
639;149.8058551;33.4790014;-0.0005058
640;151.6465083;35.8474345;-0.0004409
641;153.4904347;38.2125623;-0.0003113
642;155.3369338;40.5749800;-0.0002467
643;157.1853049;42.9352828;-0.0001178
644;159.0348472;45.2940658;-0.0000534
645;160.8848601;47.6519242;0.0000750
646;162.7346429;50.0094531;0.0001391
647;164.5834948;52.3672478;0.0002672
648;166.4307152;54.7259034;0.0003312
649;168.2756034;57.0860150;0.0004591
650;170.1174587;59.4481778;0.0005230
651;171.9555805;61.8129871;0.0006509
652;173.7892679;64.1810379;0.0007148
653;175.6178203;66.5529254;0.0008429
654;177.4405370;68.9292449;0.0009019
655;179.2567173;71.3105913;0.0009399
656;181.0656606;73.6975601;0.0009067
657;182.8666661;76.0907462;0.0008198
658;184.6590440;78.4907347;0.0008153
659;186.4424418;80.8977947;0.0008705
660;188.2169022;83.3118253;0.0008928
661;189.9824902;85.7327047;0.0009404
662;191.7392708;88.1603110;0.0009638
663;193.4873090;90.5945225;0.0010107
664;195.2266698;93.0352173;0.0010341
665;196.9574183;95.4822735;0.0010808
666;198.6796194;97.9355694;0.0011040
