,X,Y
392,62.72190413371122,-224.7355195431441
393,63.38647147247772,-224.8432964758506
394,64.05173880007438,-224.94666484998191
395,64.71767165577992,-225.04565508276494
396,65.3842373579868,-225.14029025643046
397,66.05140401467017,-225.23059168930973
398,66.71914184377069,-225.31656788915853
399,67.38741810576315,-225.39825354141314
400,68.05620234108851,-225.47567043269842
401,68.72546476260308,-225.54883858753394
402,69.39517672461899,-225.61777094895027
403,70.06530794688231,-225.6825005743351
404,70.73582984761096,-225.74304958954792
405,71.40671458499635,-225.799436696014
406,72.07793483087347,-225.85167872200856
407,72.74946258165748,-225.8998069683381
408,73.42127106428501,-225.94384372453067
409,74.09333421434724,-225.98380652331085
410,74.76562617386796,-226.0197151874419
411,75.43812101444657,-226.0515994041607
412,76.11079369247219,-226.07948144359582
413,76.78361976619337,-226.1033779028914
414,77.45657493485972,-226.12331061153782
415,78.12963515772238,-226.13930788212974
416,78.80277703063479,-226.15139180726553
417,79.47597760066957,-226.15957829959956
418,80.1492141396552,-226.1638902306328
419,80.82246433036798,-226.16435480938037
420,81.4957063107916,-226.16099381606796
421,82.16891850434769,-226.15382269713544
422,82.84207970641148,-226.14286452336907
423,83.5151691842437,-226.12814564985945
424,84.18816651611229,-226.10968743102964
425,84.8610514056847,-226.08750499098082
426,85.53380407544945,-226.06162095876988
427,86.2064052590264,-226.03206101977295
428,86.87883587093714,-225.99884600860213
429,87.55107680646059,-225.96199076320545
430,88.22310959503643,-225.92151709420708
431,88.89491633102041,-225.87745010060928
432,89.56647916083942,-225.82981002060464
433,90.23778007862731,-225.77861130849504
434,90.90880180486342,-225.7238748917846
435,91.57952769016728,-225.66562523776156
436,92.24994100966524,-225.6038819270064
437,92.92002474614894,-225.53865877930835
438,93.58976272993574,-225.46997612139336
439,94.25913945132575,-225.39785759359364
440,94.92813921318738,-225.32232207120532
441,95.59674584502184,-225.2433823208796
442,96.26494427207112,-225.16105872236415
443,96.93271998123757,-225.07537372826022
444,97.60005820522814,-224.98634547264754
445,98.26694343178173,-224.89398507265983
446,98.93336176418184,-224.7983140021223
447,99.59929950143243,-224.69935298860338
448,100.26474271177976,-224.5971193991339
449,100.92967629133886,-224.49162192073757
450,101.59408773386144,-224.38288455857327
451,102.25796390946,-224.27092559411057
452,102.92129144485475,-224.15576054977558
453,103.58405587869849,-224.03739789499846
454,104.2462459072565,-223.9158628223798
455,104.90784884602846,-223.79117131853224
456,105.56885124386396,-223.66333445498572
457,106.22924051572652,-223.53236711464902
458,106.88900547147445,-223.3982901252428
459,107.54813402353993,-223.26111867575435
460,108.20661214073536,-223.12085809349395
461,108.86442985329043,-222.97753219576884
462,109.52157560352495,-222.83115621031993
463,110.17803653594481,-222.681738936648
464,110.83380128030612,-222.52929525133823
465,111.48885960049333,-222.37384404443395
466,112.14319960210864,-222.21539639700762
467,112.79680879942622,-222.05396060595834
468,113.44967808162876,-221.88955806235802
469,114.10179623184317,-221.7222008713621
470,114.75315007520071,-221.55189324976553
471,115.40373136233657,-221.37865786109265
472,116.0535291981273,-221.2025065107176
473,116.70253029247695,-221.0234419717865
474,117.35072692281379,-220.84148688491183
475,117.99810808446502,-220.65665136589254
476,118.64466109997544,-220.46893951604665
477,119.29037836477895,-220.2783725913973
478,119.93524825439486,-220.0849575628204
479,120.57925959240697,-219.88870276569455
480,121.22240440592188,-219.68962664387618
481,121.86466985785069,-219.48773150269056
482,122.50604732858888,-219.28303295049741
483,123.14652735573873,-219.0755434290026
484,123.7860968717501,-218.86526408271487
485,124.42474938290562,-218.65221587369282
486,125.0624720015586,-218.43640012980498
487,125.69925617210896,-218.21783093389385
488,126.33509203926319,-217.99651819343373
489,126.96996774818452,-217.77246593356477
490,127.60387654462156,-217.54569242197022
491,128.2368037634784,-217.31619356410252
492,128.86874428581865,-217.0839915706819
493,129.49968393802533,-216.84908361668352
494,130.12961610883042,-216.6114872099154
495,130.75852794776986,-216.37120301844712
496,131.3864117337261,-216.1282451060846
497,132.01325531441393,-215.88261586926347
498,132.63905058187117,-215.63432796629147
499,133.26378529673158,-215.38338347901737
500,133.88745175825818,-215.1297957266085
501,134.51003678319364,-214.87356440535694
502,135.13153394475972,-214.61470559005298
503,135.75192818574607,-214.35321449186915
504,136.37121417065185,-214.08910944489477
505,136.98937733459348,-213.82238690665503
506,137.60641017691142,-213.55305982625808
507,138.22230137383872,-213.28113218129522
508,138.8370390633369,-213.00660680780553
509,139.4506156919455,-212.72949612333014
510,140.0630167302559,-212.4497970323729
511,140.67423420040967,-212.16752090894786
512,141.28425813320382,-211.88267460524673
513,141.8930731910459,-211.5952535887663
514,142.5006727463093,-211.30527189042598
515,143.10704563687904,-211.01273380526044
516,143.7121769876306,-210.7176360877052
517,144.31605883957116,-210.41998979964632
518,144.91868010748533,-210.11979950424833
519,145.5200279630441,-209.81706633901538
520,146.1200899638573,-209.51179235905903
521,146.71885659680402,-209.20398540834285
522,147.31631601054198,-208.89364873571307
523,147.91245615306508,-208.580785281091
524,148.50726242137628,-208.26539328277624
525,149.1007253865092,-207.9474808626187
526,149.69283272761237,-207.6270507001392
527,150.28357199606037,-207.30410533573743
528,150.87293061192165,-206.978647172059
529,151.46089586040608,-206.6506784753843
530,152.0474541851176,-206.32020013526812
531,152.63259271309417,-205.98721440055226
532,153.21629910257295,-205.65172454994513
533,153.79856007112295,-205.3137323196783
534,154.3793621834998,-204.97323931697906
535,154.95869184796646,-204.6302470216155
536,155.5365353125911,-204.28475678747114
537,156.11287866152045,-203.93676984415387
538,156.68770781122876,-203.58628729863898
539,157.26100850674257,-203.2333101369481
540,157.83276631783926,-202.877839225867
541,158.40296663522204,-202.51987531470215
542,158.97159460982346,-202.15941894783975
543,159.5386335020081,-201.79646790994983
544,160.10406963939724,-201.4310249955179
545,160.66788764813165,-201.0630905008519
546,161.23007195559032,-200.6926646142079
547,161.7906067864057,-200.31974741783003
548,162.34947593613296,-199.94433856066186
549,162.9066598048185,-199.56643292807755
550,163.4621452343917,-199.1860351712204
551,164.01591558755723,-198.80314496817485
552,164.56795250772078,-198.41775976918962
553,165.11823655398106,-198.02987580086943
554,165.66675383274057,-197.63949740819123
555,166.21348471045738,-197.24662103959577
556,166.75840895523996,-196.85124267296226
557,167.30151255008167,-196.45336710717007
558,167.84277109180175,-196.05298520765675
559,168.3821703191914,-195.6501019262309
560,168.91968760155115,-195.2447112144931
561,169.4553052537484,-194.83681394539087
562,169.9890013268112,-194.42640568021858
563,170.52075792947085,-194.0134875842703
564,171.05055043581535,-193.59805247640406
565,171.57836301406863,-193.1801047464723
